DATE,EURONTD156N,USDONTD156N,DEXUSEU,rateDiff,rateDiffPctChange,FXPctChange
2010-01-05,0.2775,0.175,1.4402,0.10250000000000004,-0.03529411764705881,-0.0011789999306470733
2010-01-06,0.27625,0.175,1.4404,0.10125,-0.012195121951219745,0.00013886960144415816
2010-01-07,0.2775,0.175,1.4314,0.10250000000000004,0.012345679012345956,-0.0062482643710080055
2010-01-08,0.27625,0.17313,1.4357,0.10311999999999999,0.006048780487804439,0.003004051977085309
2010-01-11,0.275,0.17313,1.4536,0.10187000000000002,-0.012121799844840742,0.012467785749112004
2010-01-12,0.27625,0.17313,1.4523,0.10311999999999999,0.012270540885441994,-0.0008943313153549903
2010-01-13,0.27625,0.17313,1.4492,0.10311999999999999,0.0,-0.0021345452041587887
2010-01-14,0.275,0.17188,1.4478,0.10312000000000002,2.220446049250313e-16,-0.0009660502346122701
2010-01-15,0.275,0.17188,1.4376,0.10312000000000002,0.0,-0.0070451719850808114
2010-01-19,0.615,0.17188,1.4269,0.44311999999999996,3.2971295577967403,-0.007442960489705053
2010-01-20,0.2825,0.17063,1.4094,0.11186999999999997,-0.7475401697057231,-0.01226434928866782
2010-01-21,0.28375,0.16938,1.4106,0.11437,0.022347367480111124,0.0008514261387824185
2010-01-22,0.28625,0.16938,1.4154,0.11687,0.021858879076680937,0.0034028073160357053
2010-01-25,0.285,0.16938,1.4146,0.11561999999999997,-0.010695644733464738,-0.0005652112477038118
2010-01-26,0.28563,0.17063,1.4063,0.11499999999999999,-0.005362394049472252,-0.0058673830057967
2010-01-27,0.28125,0.17063,1.4053,0.11062,-0.0380869565217391,-0.0007110858280595656
2010-01-28,0.28125,0.17063,1.3993,0.11062,0.0,-0.004269550985554704
2010-01-29,0.28688,0.17313,1.387,0.11375000000000002,0.028295064183692098,-0.008790109340384489
2010-02-01,0.28125,0.17063,1.3904,0.11062,-0.027516483516483725,0.0024513338139871
2010-02-02,0.28125,0.17313,1.3955,0.10812,-0.022599891520520776,0.0036680092059837577
2010-02-03,0.28125,0.17313,1.3907,0.10812,0.0,-0.0034396273737010707
2010-02-04,0.28125,0.17188,1.3759,0.10937,0.011561228264890921,-0.010642122672035792
2010-02-05,0.28125,0.17313,1.3608,0.10812,-0.011429093901435539,-0.010974634784504556
2010-02-08,0.28125,0.17063,1.3699,0.11062,0.023122456529781843,0.006687242798353754
2010-02-09,0.6175,0.17063,1.3795,0.44687000000000004,3.039685409510035,0.007007810789108726
2010-02-10,0.28438,0.17063,1.3722,0.11375000000000002,-0.7454516973616487,-0.0052917723812975215
2010-02-11,0.2825,0.17063,1.364,0.11186999999999997,-0.016527472527472997,-0.005975805276198787
2010-02-12,0.2825,0.17188,1.3625,0.11061999999999997,-0.011173683740055451,-0.0010997067448680342
2010-02-16,0.285,0.17125,1.3742,0.11374999999999996,0.028295064183691876,0.00858715596330284
2010-02-17,0.285,0.17125,1.3623,0.11374999999999996,0.0,-0.00865958375782272
2010-02-18,0.28313,0.1725,1.3563,0.11063,-0.027428571428571025,-0.004404316229905336
2010-02-19,0.28313,0.1725,1.3538,0.11063,0.0,-0.0018432500184326628
2010-02-22,0.28313,0.17625,1.359,0.10688,-0.03389677302720784,0.0038410400354558227
2010-02-23,0.28313,0.17594,1.3537,0.10718999999999998,0.0029004491017960987,-0.003899926416482735
2010-02-24,0.28125,0.17406,1.3576,0.10719000000000001,2.220446049250313e-16,0.002880992834453755
2010-02-25,0.28,0.17406,1.3476,0.10594000000000003,-0.011661535591006356,-0.007365939893930418
2010-02-26,0.2825,0.17375,1.366,0.10874999999999999,0.02652444780064145,0.013653903235381515
2010-03-01,0.28125,0.175,1.3516,0.10625000000000001,-0.022988505747126187,-0.010541727672035317
2010-03-02,0.28,0.17563,1.3564,0.10437000000000002,-0.01769411764705875,0.0035513465522345466
2010-03-03,0.28,0.17563,1.3731,0.10437000000000002,0.0,0.012312002359186058
2010-03-04,0.27875,0.17812999999999998,1.3571,0.10062000000000001,-0.035929864903707975,-0.011652465224674113
2010-03-05,0.27875,0.18375,1.3608,0.095,-0.05585370701649783,0.002726401886375296
2010-03-08,0.2775,0.1925,1.3613,0.08500000000000002,-0.10526315789473661,0.00036743092298641145
2010-03-09,0.6375,0.19219,1.3586,0.44531,4.238941176470587,-0.001983398222287436
2010-03-10,0.28,0.18905999999999998,1.3658,0.09094000000000005,-0.7957827131661088,0.005299573089945442
2010-03-11,0.2825,0.18656,1.3674,0.09593999999999997,0.0549813063558382,0.0011714745936448612
2010-03-12,0.27875,0.18656,1.3753,0.09219,-0.03908692933083158,0.005777387743162166
2010-03-15,0.28,0.19280999999999998,1.3652,0.08719000000000005,-0.0542358173337667,-0.007343852250418115
2010-03-16,0.2775,0.22413000000000002,1.3758,0.05337,-0.3878885193256111,0.007764430120128951
2010-03-17,0.27875,0.22225,1.3739,0.056499999999999995,0.05864718006370606,-0.0013810146823666214
2010-03-18,0.27875,0.221,1.3603,0.057749999999999996,0.022123893805309658,-0.009898828153431682
2010-03-19,0.28063,0.221,1.353,0.05962999999999999,0.03255411255411245,-0.005366463280158884
2010-03-22,0.28,0.21975,1.3531,0.060250000000000026,0.010397450947510212,7.390983000732376e-05
2010-03-23,0.27938,0.2185,1.3535,0.06088000000000002,0.01045643153526954,0.000295617470992493
2010-03-24,0.27938,0.2185,1.3347,0.06088000000000002,0.0,-0.01388991503509418
2010-03-25,0.27938,0.21725,1.3344,0.06213000000000002,0.02053219448094623,-0.00022476961114858973
