TRADEDATE,ADMITTEDQUOTE,ADMITTEDVALUE,BEICLOSE,BID,BOARDID,BOARDNAME,BUYBACKDATE,CBRCLOSE,CLOSE,CLOSEAUCTIONPRICE,CLOSEPERIOD,CLOSEVAL,COUPONPERCENT,COUPONVALUE,CURRENCYID,DAILYCAPITALIZATION,DECIMALS,FACEUNIT,FACEVALUE,HIGH,HIGHBID,IRICPICLOSE,ISIN,ISSUESIZE,LASTPRICE,LASTTRADEDATE,LEGALCLOSEPRICE,LEGALOPENPRICE,LISTNAME,LOW,LOWOFFER,MARKETPRICE,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3CUR,MARKETPRICE3TRADESVALUE,MARKETPRICE3TRADESVALUECUR,MONTHLYCAPITALIZATION,MP2VALTRD,MPVALTRD,NUMBID,NUMOFFER,NUMTRADES,OFFER,OFFERDATE,OPEN,OPENPERIOD,OPENVAL,PREV,PREVLEGALCLOSEPRICE,REGNUMBER,SECID,SHORTNAME,TRADINGSESSION,TRENDCLOSE,TRENDCLSPR,TRENDWAP,TRENDWAPPR,TYPE,VALUE,VOLUME,WAPRICE,WAVAL,YIELDLASTCOUPON,YIELDTOOFFER
2018-08-28,,,,,EQRP,,,,7.22,,,,,,,,,,,7.5,,,,,,,,,,7.02,,,,,,,,,,,,,33.0,,,7.02,,,,,,MGNT,Магнит ао,3.0,,,,,,430360994.25,,7.17,,,
2018-08-28,,,,,PSRP,,,,2.0,,,,,,,,,,,13.0,,,,,,,,,,0.0,,,,,,,,,,,,,32.0,,,0.0,,,,,,MGNT,Магнит ао,3.0,,,,,,47597038.57,,0.0,,,
2018-08-29,,,,,EQRP,,,,7.01,,,,,,,,,,,7.25,,,,,,,,,,7.0,,,,,,,,,,,,,43.0,,,7.25,,,,,,MGNT,Магнит ао,3.0,,,,,,736413908.16,,7.06,,,
2018-08-29,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-1.0,,,,,,,,,,,,,38.0,,,5.5,,,,,,MGNT,Магнит ао,3.0,,,,,,978016847.26,,0.0,,,
2018-08-30,,,,,EQRP,,,,7.15,,,,,,,,,,,7.24,,,,,,,,,,7.03,,,,,,,,,,,,,36.0,,,7.2,,,,,,MGNT,Магнит ао,3.0,,,,,,1484546723.4,,7.1,,,
2018-08-30,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-7.0,,,,,,,,,,,,,33.0,,,5.5,,,,,,MGNT,Магнит ао,3.0,,,,,,72320184.87,,0.0,,,
2018-08-31,,,,,EQRP,,,,7.17,,,,,,,,,,,7.31,,,,,,,,,,7.02,,,,,,,,,,,,,59.0,,,7.02,,,,,,MGNT,Магнит ао,3.0,,,,,,2849262442.22,,7.12,,,
2018-08-31,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-7.0,,,,,,,,,,,,,32.0,,,0.0,,,,,,MGNT,Магнит ао,3.0,,,,,,62854363.11,,0.0,,,
2018-09-03,,,,,EQRP,,,,7.15,,,,,,,,,,,7.25,,,,,,,,,,7.01,,,,,,,,,,,,,33.0,,,7.03,,,,,,MGNT,Магнит ао,3.0,,,,,,1219473094.0,,7.03,,,
2018-09-03,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-8.0,,,,,,,,,,,,,47.0,,,5.5,,,,,,MGNT,Магнит ао,3.0,,,,,,426016929.08,,0.0,,,
2018-09-04,,,,,EQRP,,,,5.65,,,,,,,,,,,7.34,,,,,,,,,,5.65,,,,,,,,,,,,,40.0,,,7.02,,,,,,MGNT,Магнит ао,3.0,,,,,,1376375966.51,,7.12,,,
2018-09-04,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-8.0,,,,,,,,,,,,,44.0,,,0.0,,,,,,MGNT,Магнит ао,3.0,,,,,,418463624.69,,0.0,,,
2018-09-05,,,,,EQRP,,,,6.55,,,,,,,,,,,7.25,,,,,,,,,,6.55,,,,,,,,,,,,,28.0,,,7.08,,,,,,MGNT,Магнит ао,3.0,,,,,,793227487.12,,7.07,,,
2018-09-05,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-1.0,,,,,,,,,,,,,40.0,,,0.0,,,,,,MGNT,Магнит ао,3.0,,,,,,61852346.2,,0.0,,,
2018-09-06,,,,,EQRP,,,,6.8,,,,,,,,,,,7.2,,,,,,,,,,6.8,,,,,,,,,,,,,29.0,,,7.08,,,,,,MGNT,Магнит ао,3.0,,,,,,1715462857.6,,7.1,,,
2018-09-06,,,,,PSRP,,,,0.0,,,,,,,,,,,14.0,,,,,,,,,,-8.0,,,,,,,,,,,,,40.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,498152635.82,,0.0,,,
2018-09-07,,,,,EQRP,,,,7.15,,,,,,,,,,,7.21,,,,,,,,,,7.05,,,,,,,,,,,,,35.0,,,7.07,,,,,,MGNT,Магнит ао,3.0,,,,,,1789732462.7,,7.1,,,
2018-09-07,,,,,PSRP,,,,0.0,,,,,,,,,,,14.0,,,,,,,,,,-10.23,,,,,,,,,,,,,38.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,65955985.47,,0.0,,,
2018-09-10,,,,,EQRP,,,,7.1,,,,,,,,,,,7.36,,,,,,,,,,7.08,,,,,,,,,,,,,59.0,,,7.21,,,,,,MGNT,Магнит ао,3.0,,,,,,2006632970.76,,7.11,,,
2018-09-10,,,,,EQWP,,,,6.85,,,,,,,,,,,6.85,,,,,,,,,,6.85,,,,,,,,,,,,,1.0,,,6.85,,,,,,MGNT,Магнит ао,3.0,,,,,,9996487.6,,6.85,,,
2018-09-10,,,,,PSRP,,,,0.0,,,,,,,,,,,14.0,,,,,,,,,,-10.23,,,,,,,,,,,,,42.0,,,5.5,,,,,,MGNT,Магнит ао,3.0,,,,,,312467384.27,,0.0,,,
2018-09-11,,,,,EQRP,,,,6.5,,,,,,,,,,,7.23,,,,,,,,,,6.5,,,,,,,,,,,,,39.0,,,7.11,,,,,,MGNT,Магнит ао,3.0,,,,,,2334710818.0,,7.12,,,
2018-09-11,,,,,PSRP,,,,0.0,,,,,,,,,,,14.0,,,,,,,,,,-10.27,,,,,,,,,,,,,47.0,,,0.0,,,,,,MGNT,Магнит ао,3.0,,,,,,56789104.29,,0.0,,,
2018-09-12,,,,,EQRP,,,,7.0,,,,,,,,,,,7.3,,,,,,,,,,6.26,,,,,,,,,,,,,44.0,,,7.11,,,,,,MGNT,Магнит ао,3.0,,,,,,2815997698.76,,7.13,,,
2018-09-12,,,,,PSRP,,,,0.0,,,,,,,,,,,14.0,,,,,,,,,,-10.28,,,,,,,,,,,,,38.0,,,5.5,,,,,,MGNT,Магнит ао,3.0,,,,,,56338831.05,,0.0,,,
2018-09-13,,,,,EQRP,,,,7.05,,,,,,,,,,,7.25,,,,,,,,,,7.01,,,,,,,,,,,,,30.0,,,7.16,,,,,,MGNT,Магнит ао,3.0,,,,,,2293564035.84,,7.12,,,
2018-09-13,,,,,PSRP,,,,0.0,,,,,,,,,,,14.0,,,,,,,,,,-15.0,,,,,,,,,,,,,46.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,534527697.54,,0.0,,,
